e_name,e_mut,g_r_post_i_sum_norm
2020-02-11_E21,cZRS_WT,0.642882031
2020-02-11_E22,cZRS_WT,0.921633998
2020-07-22_E04,cZRS_WT,1.397355615
2020-08-10_E08,cZRS_WT,0.950969903
2020-09-30_E08,cZRS_WT,0.613944684
2020-10-20_E07,cZRS_WT,
2020-10-28_E02,cZRS_WT,0.683634166
2020-10-28_E03,cZRS_WT,0.643465009
2020-10-28_E09,cZRS_WT,0.654581389
2020-11-02_E02,cZRS_WT,0.948426803
2020-11-02_E04,cZRS_WT,0.916528691
2020-11-11_E03,cZRS_WT,1.332765875
2020-11-11_E04,cZRS_WT,0.825060439
2020-11-23_E04,cZRS_WT,1.168306259
2020-11-30_E05,cZRS_WT,0.984059879
2020-11-30_E07,cZRS_WT,0.987470042
2020-11-30_E10,cZRS_WT,0.901314588
2020-12-16_E06,cZRS_WT,1.355001032
2020-12-16_E09,cZRS_WT,1.169714742
2021-02-01_E03,cZRS_WT,1.19553288
2021-02-01_E04,cZRS_WT,
2021-02-01_E10,cZRS_WT,1.42892231
2021-02-10_E05,cZRS_WT,1.355621851
2021-02-01_E10,cZRS_WT,1.485565727
2021-03-02_E04,cZRS_WT,0.918096159
2021-03-02_E05,cZRS_WT,0.63153063
2021-03-02_E25,cZRS_WT,1.346460631
2021-03-16_E05,cZRS_WT,1.532903821
2021-03-16_E09,cZRS_WT,1.032458647
2021-03-22_E04,cZRS_WT,1.173320302
2021-03-22_E05,cZRS_WT,1.223053487
2021-03-22_E06,cZRS_WT,1.251319471
2021-03-29_E06,cZRS_WT,0.789426688
2021-04-21_E02,cZRS_WT,
2021-04-28_E07,cZRS_WT,1.613129237
2021-04-28_E08,cZRS_WT,
2021-06-28_E11,cZRS_WT,1.676431916
2021-07-14_E06,cZRS_WT,1.030727891
2021-07-19_E10,cZRS_WT,1.03792601
2021-07-19_E22,cZRS_WT,0.692252419
2021-07-26_E04,cZRS_WT,1.284264851
2021-09-20_E01,cZRS_WT,1.37992561
2021-09-20_E06,cZRS_WT,1.240349802
2021-10-04_E04,cZRS_WT,1.628900671
2021-10-04_E09,cZRS_WT,1.744301714
2021-10-04_E10,cZRS_WT,1.251577632
2021-11-01_E06,cZRS_WT,1.108064133
2021-11-01_E10,cZRS_WT,1.163993759
2021-11-15_E05,cZRS_WT,0.672868499
2021-11-15_E07,cZRS_WT,0.705402535
2021-12-06_E02,cZRS_WT,0.855649047
2021-12-06_E07,cZRS_WT,1.08921295
2021-12-06_E10,cZRS_WT,
2022-01-31_E06,cZRS_WT,1.032638837
2023-01-17_E24,cZRS_WT,
2023-01-17_E26,cZRS_WT,1.266249781
2023-01-17_E27,cZRS_WT,1.314027063
2021-01-20_E33,Empty_TK,0.432359331
2022-01-31_E35,Empty_TK,0.323780029
2022-01-31_E39,Empty_TK,
2022-01-31_E40,Empty_TK,
2023-01-30_E21,Empty_TK,0.368843098
2023-01-30_E22,Empty_TK,0.311491628
2023-01-30_E23,Empty_TK,0.407692411
2023-01-30_E26,Empty_TK,0.431251099
2023-01-30_E28,Empty_TK,0.429543726
2020-02-11_E05,cZRS_THH,0.361671645
2020-02-11_E08,cZRS_THH,0.358922458
2020-02-11_E12,cZRS_THH,0.592216921
2020-02-19_E03,cZRS_THH,
2020-07-07_E22,cZRS_THH,0.406711298
2020-07-07_E23,cZRS_THH,0.280174679
2020-11-30_E33,cZRS_THH,0.637931929
2020-12-16_E31,cZRS_THH,0.570348579
2021-03-16_E23,cZRS_THH,0.720252336
2021-03-22_E11,cZRS_THH,0.572769252
2021-03-22_E13,cZRS_THH,0.592034212
2021-03-22_E14,cZRS_THH,0.576517334
2021-04-28_E31,cZRS_THH,
2020-02-19_E21,cZRS_HH,0.55067551
2020-11-23_E31,cZRS_HH,
2020-11-23_E36,cZRS_HH,0.761877071
2021-03-22_E26,cZRS_HH,
2021-03-22_E27,cZRS_HH,1.067215761
2020-06-30_E14,cZRS_T13H,0.582885004
2020-06-30_E18,cZRS_T13H,
2020-06-30_E21,cZRS_T13H,
2020-07-07_E17,cZRS_T13H,0.61880203
2020-07-07_E19,cZRS_T13H,0.554749234
2020-10-20_E23,cZRS_T13,1.20692862
2020-10-20_E30,cZRS_T13,
2020-10-28_E21,cZRS_T13,0.419669371
2020-10-28_E22,cZRS_T13,0.564243657
2020-10-28_E23,cZRS_T13,0.453512115
2020-10-28_E24,cZRS_T13,
2020-10-28_E27,cZRS_T13,0.897451178
2020-11-02_E26,cZRS_T13,0.794895404
2020-11-11_E22,cZRS_T13,0.740033051
2020-11-11_E24,cZRS_T13,0.791500932
2020-11-11_E30,cZRS_T13,1.101624255
2020-11-11_E32,cZRS_T13,0.714792824
2020-07-22_E16,cZRS_TH,
2020-07-22_E17,cZRS_TH,0.482133931
2020-08-10_E18,cZRS_TH,0.447724295
2020-08-10_E26,cZRS_TH,0.636701161
2020-10-20_E12,cZRS_TH,0.491977986
2020-10-20_E13,cZRS_TH,0.627808479
2020-10-20_E17,cZRS_TH,0.589715267
2020-10-20_E19,cZRS_TH,0.469335621
2020-10-28_E20,cZRS_TH,0.523935265
2020-11-02_E12,cZRS_TH,0.624386904
2020-11-02_E13,cZRS_TH,0.659299696
2020-11-02_E19,cZRS_TH,0.384514403
2020-11-23_E12,cZRS_TH,
2020-11-23_E13,cZRS_TH,0.463563994
2020-11-23_E16,cZRS_TH,0.522990604
2020-11-23_E19,cZRS_TH,0.454803567
2021-02-10_E22,cZRS_TH,0.435635552
2021-02-10_E24,cZRS_TH,0.537184269
2021-02-10_E27,cZRS_TH,0.47147725
2021-02-10_E32,cZRS_TH,0.388114989
2020-11-30_E11,cZRS_H2N,
2020-11-30_E15,cZRS_H2N,0.592637436
2020-11-30_E17,cZRS_H2N,
2020-11-30_E18,cZRS_H2N,0.590449287
2021-01-20_E11,cZRS_HH12-TB3,0.410232576
2021-01-20_E15,cZRS_HH12-TB3,0.502966388
2021-01-20_E19,cZRS_HH12-TB3,0.442168734
2021-02-01_E20,cZRS_HH12-TB3,0.501213903
2021-02-10_E17,cZRS_HH12-TB3,
2023-01-30_E13,cZRS_HH12-TB3,
2023-01-30_E14,cZRS_HH12-TB3,0.371874075
2021-03-02_E12,cZRS_T13H-HB2,
2021-03-02_E13,cZRS_T13H-HB2,0.85739238
2021-03-02_E14,cZRS_T13H-HB2,0.997987287
2021-03-02_E15,cZRS_T13H-HB2,0.906189256
2021-03-02_E20,cZRS_T13H-HB2,0.813249175
2021-03-16_E14,cZRS_T13H-HB2,0.541030128
2021-03-16_E16,cZRS_T13H-HB2,0.488271784
2021-03-22_E34,cZRS_T13H-HB2,0.627859148
2021-03-22_E35,cZRS_T13H-HB2,
2021-03-29_E17,cZRS_HH12-TB1,0.981478981
2021-04-21_E12,cZRS_HH12-TB1,
2021-04-21_E18,cZRS_HH12-TB1,1.232583737
2021-04-21_E19,cZRS_HH12-TB1,1.81883004
2021-04-28_E24,cZRS_HH12-TB1,1.494595664
2021-04-28_E27,cZRS_HH12-TB1,1.341479525
2021-04-28_E30,cZRS_HH12-TB1,
2021-03-29_E25,cZRS_T13H-HB1,
2021-03-29_E26,cZRS_T13H-HB1,0.404173164
2021-03-29_E27,cZRS_T13H-HB1,0.4315608
2021-04-21_E22,cZRS_T13H-HB1,0.491024583
2021-04-21_E23,cZRS_T13H-HB1,0.642857203
2021-04-21_E28,cZRS_T13H-HB1,0.767214181
2021-04-28_E13,cZRS_T13H-HB1,
2021-04-28_E15,cZRS_T13H-HB1,0.812766847
2021-04-28_E16,cZRS_T13H-HB1,0.882978701
2021-09-20_E12,cZRS_Peak-B1,
2021-09-20_E15,cZRS_Peak-B1,0.392029418
2021-09-20_E18,cZRS_Peak-B1,0.373392719
2021-09-20_E19,cZRS_Peak-B1,0.331974153
2021-09-20_E20,cZRS_Peak-B1,0.336537727
2021-09-20_E23,cZRS_Peak-B1,
2021-09-20_E28,cZRS_Peak-B1,0.465756737
2021-10-04_E14,cZRS_Peak-B1,0.323122164
2021-10-04_E15,cZRS_Peak-B1,0.335179333
2021-10-04_E16,cZRS_Peak-B1,0.466428808
2021-10-04_E17,cZRS_Peak-B1,0.425997388
2021-11-15_E41,cZRS_Peak-B1,0.431884949
2021-11-15_E42,cZRS_Peak-B1,0.580665371
2021-07-06_E03,cZRS_Peak-B2,0.690650572
2021-07-14_E12,cZRS_Peak-B2,0.4324118
2021-07-14_E19,cZRS_Peak-B2,
2021-09-20_E31,cZRS_Peak-B2,
2021-09-20_E32,cZRS_Peak-B2,0.362296878
2021-09-20_E38,cZRS_Peak-B2,0.366220623
2021-07-19_E19,cZRS_Peak-B3,0.72978989
2021-07-19_E20,cZRS_Peak-B3,0.507817257
2021-07-26_E26,cZRS_Peak-B3,
2021-10-04_E22,cZRS_Peak-B3,0.728327458
2021-10-04_E23,cZRS_Peak-B3,0.699839378
2021-10-04_E24,cZRS_Peak-B3,
2021-11-01_E11,cZRS_Peak-B1B2,0.550977814
2021-11-01_E13,cZRS_Peak-B1B2,0.490889514
2021-11-15_E11,cZRS_Peak-B1B2,
2021-11-15_E17,cZRS_Peak-B1B2,
2021-11-15_E18,cZRS_Peak-B1B2,0.594316189
2023-01-17_E13,cZRS_Peak-B1B2,0.421292769
2022-01-31_E14,cZRS_Peak-B2B3,0.650052399
2022-01-31_E15,cZRS_Peak-B2B3,
2022-01-31_E17,cZRS_Peak-B2B3,
2022-07-06_E05,cZRS_Peak-B2B3,0.824807693
2022-07-06_E09,cZRS_Peak-B2B3,0.847682538
2022-07-06_E10,cZRS_Peak-B2B3,0.800946431
2022-07-25_E04,cZRS_Peak-B2B3,1.033562593
2021-11-15_E33,cZRS_Peak-B1B3,0.773792719
2021-11-15_E34,cZRS_Peak-B1B3,1.138533157
2021-11-15_E38,cZRS_Peak-B1B3,0.972169859
2021-12-06_E20,cZRS_Peak-B1B3,
2022-01-31_E22,cZRS_Peak-B1B3,
2023-01-17_E02,cZRS_H12,0.500145905
2023-01-17_E03,cZRS_H12,0.463724044
2023-01-17_E08,cZRS_H12,0.679177586
2023-01-17_E09,cZRS_H12,
2023-01-30_E03,cZRS_H12,0.696812256
2023-01-30_E04,cZRS_H12,0.668188331
2023-02-13_E09,cZRS_H12,0.475879596
2023-02-13_E10,cZRS_H12,
2021-07-19_E28,hZRS_WT,0.711257424
2021-07-19_E29,hZRS_WT,
2022-03-02_E11,hZRS_WT,0.82583904
2022-03-02_E12,hZRS_WT,1.018832858
2022-03-14_E04,hZRS_WT,0.74983068
2022-03-14_E10,hZRS_WT,
2022-03-28_E04,hZRS_WT,0.886946641
2022-03-28_E06,hZRS_WT,0.60313773
2022-03-14_E14,hZRS_THH,0.476227487
2023-02-13_E14,hZRS_THH,0.411815969
2023-02-13_E16,hZRS_THH,
2023-02-13_E18,hZRS_THH,0.461697187
2023-02-13_E19,hZRS_THH,0.472715731
2023-02-13_E20,hZRS_THH,
2022-02-16_E03,hZRS_619-C-T,1.607646434
2022-03-02_E03,hZRS_619-C-T,1.49209242
2022-03-02_E05,hZRS_619-C-T,1.566556656
2022-03-14_E18,hZRS_619-C-T,1.253707545
2022-03-14_E19,hZRS_619-C-T,
2022-03-14_E21,hZRS_619-C-T,1.167870462
2022-03-14_E22,hZRS_619-C-T,1.285600773
2022-03-22_E08,hZRS_619-C-T,1.02835313
2022-03-22_E10,hZRS_619-C-T,1.694528128
2022-03-22_E12,hZRS_619-C-T,0.704519348
2022-03-28_E15,hZRS_619-C-T,
2022-03-28_E18,hZRS_619-C-T,0.920852847
